work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2023,Data Engineer,Data Engineering,USD,122000,122000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,94500,94500.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,247300,247300.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,139700,139700.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,176000,176000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,100000,100000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500,204500.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,142200,142200.0,United States,Senior,Full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,247600,247600.0,United States,Senior,Full-time,In-person,United States,L
2023,Research Scientist,Data Science and Research,USD,127300,127300.0,United States,Senior,Full-time,In-person,United States,L
2023,Data Scientist,Data Science and Research,USD,223400,223400.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,186200,186200.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,167500,167500.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,106500,106500.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,185900,185900.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,129300,129300.0,United States,Senior,Full-time,In-person,United States,M
2023,Research Analyst,Data Science and Research,USD,72000,72000.0,United States,Entry-level,Full-time,Remote,United States,M
2023,Research Analyst,Data Science and Research,USD,64000,64000.0,United States,Entry-level,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,USD,179820,179820.0,United States,Senior,Full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,143860,143860.0,United States,Senior,Full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,283050,283050.0,United States,Senior,Full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,188700,188700.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,133000,133000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,58400,58400.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,141298,141298.0,United States,Senior,Full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,115607,115607.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,100000,100000.0,United States,Entry-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,75000,75000.0,United States,Entry-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,266500,266500.0,Canada,Senior,Full-time,In-person,Canada,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,144400,144400.0,Canada,Senior,Full-time,In-person,Canada,M
2023,Data Engineer,Data Engineering,GBP,58000,71363.0,United Kingdom,Senior,Full-time,In-person,United Kingdom,M
2023,Data Engineer,Data Engineering,GBP,45000,55368.0,United Kingdom,Senior,Full-time,In-person,United Kingdom,M
2023,Research Scientist,Data Science and Research,USD,287500,287500.0,United States,Senior,Full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,156000,156000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,90000,90000.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,70000,70000.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,199000,199000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,162000,162000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,170884,170884.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,113923,113923.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,184000,184000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,123000,123000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,235750,235750.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,174250,174250.0,United States,Senior,Full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,165000,165000.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,USD,118800,118800.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,225000,225000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,150000,150000.0,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,213900,213900.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,116800,116800.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,220000,220000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,150000,150000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,150000,150000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,100000,100000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,247500,247500.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,172200,172200.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,155000,155000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,120000,120000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,226700,226700.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,133300,133300.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,184000,184000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,123000,123000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,130000,130000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,117000,117000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Science Engineer,Data Science and Research,USD,160000,160000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Science Engineer,Data Science and Research,USD,140000,140000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,166000,166000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,73000,73000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,185900,185900.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,129300,129300.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,130000,130000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,104000,104000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,143000,143000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,116000,116000.0,United States,Senior,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,USD,165000,165000.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,USD,118800,118800.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Research Scientist,Data Science and Research,USD,220000,220000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,180000,180000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,184000,184000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,123000,123000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,215000,215000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,200000,200000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,253000,253000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,131000,131000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,176000,176000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Quality Analyst,Data Quality and Operations,GBP,40000,49216.0,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,M
2023,Data Quality Analyst,Data Quality and Operations,GBP,30000,36912.0,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,M
2023,Data Scientist,Data Science and Research,USD,210000,210000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,147000,147000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Product Manager,Leadership and Management,USD,186000,186000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Product Manager,Leadership and Management,USD,161000,161000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,205000,205000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,152000,152000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,220000,220000.0,Canada,Mid-level,Full-time,Remote,Canada,M
2023,Data Engineer,Data Engineering,USD,190000,190000.0,Canada,Mid-level,Full-time,Remote,Canada,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,205000,205000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,152000,152000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,137000,137000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,110000,110000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,172000,172000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,146000,146000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,148000,148000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,99000,99000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,150000,150000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,130000,130000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,105000,105000.0,United States,Entry-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,99000,99000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,52500,52500.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Scientist,Machine Learning and AI,USD,180514,180514.0,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Scientist,Machine Learning and AI,USD,108308,108308.0,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,210000,210000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,147000,147000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,290300,290300.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,196685,196685.0,United States,Senior,Full-time,In-person,United States,M
2023,AI Engineer,Machine Learning and AI,USD,220000,220000.0,United States,Senior,Full-time,In-person,United States,M
2023,AI Engineer,Machine Learning and AI,USD,176000,176000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,175000,175000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,130000,130000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,185000,185000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,150000,150000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,145000,145000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,115000,115000.0,United States,Senior,Full-time,In-person,United States,M
2023,MLOps Engineer,Machine Learning and AI,USD,133000,133000.0,United States,Entry-level,Full-time,In-person,United States,M
2023,MLOps Engineer,Machine Learning and AI,USD,58300,58300.0,United States,Entry-level,Full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,115000,115000.0,United States,Senior,Full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,95000,95000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,GBP,89600,110244.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Engineer,Data Engineering,GBP,32000,39372.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Scientist,Data Science and Research,EUR,40000,43187.0,Spain,Entry-level,Full-time,In-person,Spain,M
2023,Data Scientist,Data Science and Research,EUR,29000,31310.0,Spain,Entry-level,Full-time,In-person,Spain,M
2023,Data Analyst,Data Analysis,GBP,75000,92280.0,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,GBP,55000,67672.0,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,GBP,75000,92280.0,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,GBP,55000,67672.0,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Scientist,Data Science and Research,EUR,70000,75577.0,Ireland,Senior,Full-time,Hybrid,Ireland,L
2023,Deep Learning Engineer,Machine Learning and AI,CAD,409500,303387.0,Canada,Senior,Full-time,Remote,Canada,M
2023,Deep Learning Engineer,Machine Learning and AI,CAD,135000,100017.0,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Engineer,Data Engineering,USD,230300,230300.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,140000,140000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,124935,124935.0,South Africa,Senior,Full-time,In-person,South Africa,M
2023,Data Engineer,Data Engineering,USD,76050,76050.0,South Africa,Senior,Full-time,In-person,South Africa,M
2023,Data Scientist,Data Science and Research,USD,224800,224800.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,131100,131100.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,258000,258000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,171000,171000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,196000,196000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,121000,121000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,195800,195800.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,171500,171500.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Modeler,Data Architecture and Modeling,USD,166000,166000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Modeler,Data Architecture and Modeling,USD,73100,73100.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,220000,220000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,160000,160000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,85000,85000.0,United States,Entry-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,65000,65000.0,United States,Entry-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000,100000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,185000,185000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,152000,152000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000,100000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,EUR,45000,48585.0,Spain,Senior,Full-time,In-person,Spain,M
2023,Data Scientist,Data Science and Research,EUR,36000,38868.0,Spain,Senior,Full-time,In-person,Spain,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000,100000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000,100000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,220000,220000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,100000,100000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,110000,110000.0,Poland,Senior,Full-time,Remote,Poland,M
2023,Data Analyst,Data Analysis,USD,80000,80000.0,Poland,Senior,Full-time,Remote,Poland,M
2023,Data Analyst,Data Analysis,GBP,30000,36912.0,United Kingdom,Senior,Full-time,Remote,United Kingdom,S
2023,Data Scientist,Data Science and Research,USD,150200,150200.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,71000,71000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,167200,167200.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,121000,121000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,133000,133000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,58400,58400.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,135000,135000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,110000,110000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Product Owner,Leadership and Management,GBP,85000,104584.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Product Owner,Leadership and Management,GBP,60000,73824.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Scientist,Data Science and Research,USD,187415,187415.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,114080,114080.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,187415,187415.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,114080,114080.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,166000,166000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,73100,73100.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,306400,306400.0,Canada,Senior,Full-time,In-person,Canada,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,168700,168700.0,Canada,Senior,Full-time,In-person,Canada,M
2023,Data Scientist,Data Science and Research,USD,187415,187415.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,114080,114080.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,GBP,26800,32974.0,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,GBP,26800,32974.0,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,USD,165000,165000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,140000,140000.0,United States,Senior,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,USD,150000,150000.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,167000,167000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,121000,121000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Business Intelligence Engineer,BI and Visualization,USD,185000,185000.0,United States,Mid-level,Full-time,In-person,United States,L
2023,Business Intelligence Engineer,BI and Visualization,USD,79600,79600.0,United States,Mid-level,Full-time,In-person,United States,L
2023,Data Scientist,Data Science and Research,USD,190200,190200.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,95100,95100.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,133000,133000.0,United States,Entry-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,58400,58400.0,United States,Entry-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,90000,90000.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,70000,70000.0,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,166000,166000.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,73100,73100.0,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,135000,135000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,100000,100000.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,180514,180514.0,United Kingdom,Senior,Full-time,Remote,United Kingdom,M
2023,Data Engineer,Data Engineering,USD,108308,108308.0,United Kingdom,Senior,Full-time,Remote,United Kingdom,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,294000,294000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,192000,192000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,266000,266000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,167000,167000.0,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,200000,200000.0,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,150000,150000.0,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,163800,163800.0,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,88200,88200.0,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,180400,180400.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,138800,138800.0,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,GBP,55000,67672.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
